"variable","value","procs"
"computeTime",0.96866,64
"computeTime",0.968867,64
"computeTime",0.969066,64
"computeTime",0.969276,64
"computeTime",0.96948,64
"computeTime",0.969685,64
"computeTime",0.96989,64
"computeTime",0.970125,64
"computeTime",0.970383,64
"computeTime",0.97067,64
"computeTime",0.97095,64
"computeTime",0.971259,64
"computeTime",0.971537,64
"computeTime",0.971835,64
"computeTime",0.972115,64
"computeTime",0.972438,64
"computeTime",0.97272,64
"computeTime",0.972998,64
"computeTime",0.973269,64
"computeTime",0.973563,64
"computeTime",0.973831,64
"computeTime",0.974101,64
"computeTime",0.974368,64
"computeTime",0.971171,64
"computeTime",0.96847,64
"computeTime",0.968681,64
"computeTime",0.96888,64
"computeTime",0.969109,64
"computeTime",0.969323,64
"computeTime",0.969548,64
"computeTime",0.969775,64
"computeTime",0.970014,64
"computeTime",0.970227,64
"computeTime",0.970419,64
"computeTime",0.97061,64
"computeTime",0.97083,64
"computeTime",0.971042,64
"computeTime",0.971255,64
"computeTime",0.971466,64
"computeTime",0.9717,64
"computeTime",0.971913,64
